ACC:,RandF500,RandF,TunedC45,C45
AvgTESTACC:,0.8536995277962424,0.8365812622888069,0.8267419516929096,0.8260097732260355
AvgTESTACC_RANK:,1.4166666666666667,2.75,2.75,3.0833333333333335

BALACC:,RandF500,C45,TunedC45,RandF
AvgTESTBALACC:,0.749477997284972,0.7286196331594974,0.7279268344321554,0.7302804058681104
AvgTESTBALACC_RANK:,1.8333333333333333,2.5833333333333335,2.75,2.8333333333333335

AUROC:,RandF500,RandF,TunedC45,C45
AvgTESTAUROC:,0.8845469874630538,0.8451230356215804,0.7818704780787232,0.7723735371600671
AvgTESTAUROC_RANK:,1.0,2.0,3.25,3.75

NLL:,RandF500,TunedC45,RandF,C45
AvgTESTNLL:,0.5997907636821017,0.653755664214604,0.6470347815354237,0.7002618997511364
AvgTESTNLL_RANK:,1.6666666666666667,2.5833333333333335,2.6666666666666665,3.0833333333333335

ExtraTimeForEst_BM: MISSING

BuildAndEstTimes_BM: MISSING

AvgPredTimes_BM:,RandF500,RandF,C45,TunedC45
AvgTESTAvgPredTimes_BM:,-0.09902500000000002,-0.004166666666666667,-8.333333333333334E-4,-1.1666666666666668E-4
AvgTESTAvgPredTimes_BM_RANK:,1.0,2.0,3.0,4.0

TrainTimes_BM:,RandF500,RandF,TunedC45,C45
AvgTRAINTrainTimes_BM:,-1076.5964166666665,-50.580600000000004,-41.314899999999994,-19.261966666666666
AvgTRAINTrainTimes_BM_RANK:,1.0,2.1666666666666665,3.1666666666666665,3.6666666666666665

MaxMemory:,C45,RandF,TunedC45,RandF500
AvgTESTMaxMemory:,0.0,0.0,8.325689333333333,16.292642666666666
AvgTESTMaxMemory_RANK:,2.1666666666666665,2.1666666666666665,2.75,2.9166666666666665

ExtraTimeForEst: MISSING

BuildAndEstTimes: MISSING

AvgPredTimes:,TunedC45,C45,RandF,RandF500
AvgTESTAvgPredTimes:,1.1666666666666668E-4,8.333333333333334E-4,0.004166666666666667,0.09902500000000002
AvgTESTAvgPredTimes_RANK:,1.0,2.0,3.0,4.0

TrainTimes:,C45,TunedC45,RandF,RandF500
AvgTRAINTrainTimes:,19.261966666666666,41.314899999999994,50.580600000000004,1076.5964166666665
AvgTRAINTrainTimes_RANK:,1.3333333333333333,1.8333333333333333,2.8333333333333335,4.0

